datetime	price	type	latitude_to	longitude_to	latitude_from	longitude_from	label_from	label_trend
18.05.2014 15:45	154.44	Hotel	-95.2891879	29.9028043	-86.639913	39.825192	HYATT REGENCY HOUSTON GAL 	DoWD
18.05.2014 17:16	546.2	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	UNITED      0167677492826 	DoWD
18.05.2014 18:52	732.25	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	UNITED      0167597265565 	DoWD
20.05.2014 18:40	399.2	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	UNITED      0167690417353 	DoWD
21.05.2014 15:23	689.7	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	UNITED      0167690417426 	DoWD
21.05.2014 15:43	498.2	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	UNITED      0167683267820 	DoWD
21.05.2014 22:18	410.2	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	UNITED      0167686257364 	DoWD
22.05.2014 15:18	725.2	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	UNITED      0167686257384 	DoWD
23.05.2014 21:35	356.2	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	UNITED      0167690417352 	DoWD
24.05.2014 12:00	689.7	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	UNITED      0167690417421 	DoWD
24.05.2014 12:18	335.2	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	UNITED      0167587383744 	DoWD
24.05.2014 15:21	523.2	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	UNITED      0167587383698 	DoWD
25.05.2014 20:44	335.2	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	UNITED      0167590268002 	DoWD
25.05.2014 21:00	604	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262109488392 	DoWD
25.05.2014 22:18	290	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262132516225 	DoWD
26.05.2014 20:18	231	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262129665088 	DoWD
27.05.2014 15:16	208	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262129931519 	DoWD
27.05.2014 19:41	290	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262132517222 	DoWD
28.05.2014 12:14	672	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262109486177 	DoWD
29.05.2014 20:43	684	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262142164525 	DoWD
29.05.2014 21:03	231	AIRFARE	-95.2891879	29.9028043	-86.639913	39.825192	SOUTHWES    5262129663799 	DoWD
